Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
Kepler-783,b,Kepler-783 b,Transit,2016,4.29264638,0.399,0.78,4.62,,229.104
Kepler-783,c,Kepler-783 c,Transit,2020,7.05395,6.04,2.332,2.62,,
Kepler-784,b,Kepler-784 b,Transit,2016,31.5922646,3.12,1.58,4.35,,194.385
Kepler-785,b,Kepler-785 b,Transit,2016,1.97376093,,13.02,,,163.862
Kepler-786,b,Kepler-786 b,Transit,2016,53.5293487,6.48,2.43,2.48,,3.658
Kepler-787,b,Kepler-787 b,Transit,2016,0.9283105,2.18,1.28,5.71,,493.553
Kepler-788,b,Kepler-788 b,Transit,2016,8.39846269,7.04,2.55,2.33,,357.191
Kepler-789,b,Kepler-789 b,Transit,2016,8.63847725,5.14,2.12,2.96,,312.34
Kepler-79,b,Kepler-79 b,Transit,2012,13.4845,10.9,3.47,1.43,,205.404
Kepler-79,c,Kepler-79 c,Transit,2012,27.4029,5.9,3.72,0.62,,79.765
Kepler-79,d,Kepler-79 d,Transit,2014,52.0902,6,7.16,0.09,,33.874
Kepler-79,e,Kepler-79 e,Transit,2014,81.0659,4.1,3.49,0.53,,18.78
Kepler-790,b,Kepler-790 b,Transit,2016,13.73469807,5.39,2.18,2.86,,38.274
Kepler-791,b,Kepler-791 b,Transit,2016,14.5539759,9.53,3.05,1.85,,140.057
Kepler-792,b,Kepler-792 b,Transit,2016,11.30119217,4.5,1.96,3.28,,176.032
Kepler-793,b,Kepler-793 b,Transit,2016,4.24153639,2.45,1.37,5.24,,617.407
Kepler-794,b,Kepler-794 b,Transit,2016,11.13125132,5.1,2.11,2.98,,299.97
Kepler-795,b,Kepler-795 b,Transit,2016,29.6193421,3.46,1.68,4.01,,
Kepler-796,b,Kepler-796 b,Transit,2016,6.40087618,2.24,1.3,5.6,,962.264
Kepler-797,b,Kepler-797 b,Transit,2016,27.07237711,5.35,2.17,2.88,,90.1
Kepler-798,b,Kepler-798 b,Transit,2016,13.71933369,6.3,2.39,2.54,,141.888
Kepler-799,b,Kepler-799 b,Transit,2016,133.4605235,37.9,6.88,0.64,,6.356
Kepler-8,b,Kepler-8 b,Transit,2010,3.5224991,187.5197,15.872,0.27,1680,1444.881
Kepler-80,b,Kepler-80 b,Transit,2012,7.05246,6.93,2.67,1.38,546,54.382
Kepler-80,c,Kepler-80 c,Transit,2012,9.52355,6.74,2.74,1.22,494,36.482
Kepler-80,d,Kepler-80 d,Transit,2014,3.07222,6.75,1.53,7.04,720,164.625
Kepler-80,e,Kepler-80 e,Transit,2014,4.64489,4.13,1.6,3.75,628,94.781
Kepler-80,f,Kepler-80 f,Transit,2016,0.9867873,1.92,1.21,5.96,,750.964
Kepler-80,g,Kepler-80 g,Transit,2017,14.64558,1.51,1.13,5.75,418,
Kepler-800,b,Kepler-800 b,Transit,2016,14.13176026,8.5,2.85,2.02,,44.872
Kepler-801,b,Kepler-801 b,Transit,2016,11.41928253,4.66,2,3.2,,14.442
Kepler-802,b,Kepler-802 b,Transit,2016,40.0587473,12.3,3.54,1.52,,13.508
Kepler-803,b,Kepler-803 b,Transit,2016,50.28638192,13.8,3.79,1.39,,20.882
Kepler-804,b,Kepler-804 b,Transit,2016,14.37457351,4.42,1.94,3.33,,83.427
Kepler-804,c,Kepler-804 c,Transit,2016,9.65185017,1.55,1.14,5.75,,141.839
Kepler-805,b,Kepler-805 b,Transit,2016,30.8638931,8.7,2.89,1.98,,86.473
Kepler-806,b,Kepler-806 b,Transit,2016,8.09219642,1.55,1.14,5.75,,413.603
Kepler-807,b,Kepler-807 b,Transit,2016,117.93108781,76.8,10.42,0.373,,7.445
Kepler-808,b,Kepler-808 b,Transit,2016,0.63133235,2.73,1.46,4.82,,
Kepler-809,b,Kepler-809 b,Transit,2016,55.63934,9.32,3.01,1.88,,13.155
Kepler-81,b,Kepler-81 b,Transit,2012,5.955,17.2,2.42,6.67,541,39.95
Kepler-81,c,Kepler-81 c,Transit,2012,12.04,4.3,2.37,1.77,428,15.62
Kepler-81,d,Kepler-81 d,Transit,2014,20.837846,1.92,1.21,5.96,,7.507
Kepler-810,b,Kepler-810 b,Transit,2016,4.59725385,4.38,1.93,3.35,,350.597
Kepler-811,b,Kepler-811 b,Transit,2016,23.58447697,7.75,2.7,2.16,,78.59
Kepler-812,b,Kepler-812 b,Transit,2016,10.11716531,12.3,3.55,1.51,,421.917
Kepler-813,b,Kepler-813 b,Transit,2016,19.12947337,5.22,2.14,2.93,,
Kepler-814,b,Kepler-814 b,Transit,2016,6.1469851,5.14,2.12,2.96,,935.124
Kepler-815,b,Kepler-815 b,Transit,2016,8.57503552,15.8,4.11,1.25,,979.136
Kepler-816,b,Kepler-816 b,Transit,2016,10.50682565,74.5,10.24,0.381,,50.563
Kepler-817,b,Kepler-817 b,Transit,2016,3.99010623,60.2,9.03,0.449,,550.203
Kepler-818,b,Kepler-818 b,Transit,2016,10.03538581,22.9,5.11,0.943,,100.779
Kepler-819,b,Kepler-819 b,Transit,2016,33.1995648,8.05,2.76,2.1,,9.913
Kepler-82,b,Kepler-82 b,Transit,2012,26.44,12.15,4.07,0.98,,19.558
Kepler-82,c,Kepler-82 c,Transit,2012,51.54,13.9,5.34,0.494,,8.035
Kepler-82,d,Kepler-82 d,Transit,2014,2.382961,3.78,1.77,3.75,,484.351
Kepler-82,e,Kepler-82 e,Transit,2014,5.902206,6.66,2.47,2.43,,144.337
Kepler-82,f,Kepler-82 f,Transit Timing Variations,2019,75.732,20.9,4.84,1.01,,
Kepler-820,b,Kepler-820 b,Transit,2016,127.8338098,30.8,6.09,0.749,,16.228
Kepler-821,b,Kepler-821 b,Transit,2016,1.92279873,2.27,1.31,5.55,,496.82
Kepler-822,b,Kepler-822 b,Transit,2016,3.22296927,3.78,1.77,3.75,,535.188
Kepler-823,b,Kepler-823 b,Transit,2016,4.16809082,3.09,1.57,4.39,,803.353
Kepler-824,b,Kepler-824 b,Transit,2016,4.51436633,4.16,1.87,3.5,,454.604
Kepler-825,b,Kepler-825 b,Transit,2016,3.77360059,2.96,1.53,4.54,,734.464
Kepler-825,c,Kepler-825 c,Transit,2016,8.1818246,4.04,1.84,3.56,,261.628
Kepler-826,b,Kepler-826 b,Transit,2016,4.48758907,2.1,1.25,5.91,,827.221
Kepler-827,b,Kepler-827 b,Transit,2016,51.92927591,27,5.63,0.831,,23.602
Kepler-828,b,Kepler-828 b,Transit,2016,0.56785714,2.89,1.51,4.61,,1835.159
Kepler-829,b,Kepler-829 b,Transit,2016,6.88337562,5.1,2.11,2.98,,247.47
Kepler-83,b,Kepler-83 b,Transit,2012,9.77,42.1,2.83,10.2,460,15.412
Kepler-83,c,Kepler-83 c,Transit,2012,20.09,11.4,2.36,4.77,362,5.9
Kepler-83,d,Kepler-83 d,Transit,2014,5.169796,24.6,1.94,18.5,569,28.81
Kepler-830,b,Kepler-830 b,Transit,2016,11.29695137,3.53,1.7,3.95,,
Kepler-831,b,Kepler-831 b,Transit,2016,5.62153941,2.15,1.27,5.77,,266.249
Kepler-832,b,Kepler-832 b,Transit,2016,7.1396941,4.9,2.06,3.08,,256.828
Kepler-833,b,Kepler-833 b,Transit,2016,18.7546998,4.74,2.02,3.16,,8.313
Kepler-834,b,Kepler-834 b,Transit,2016,13.32388301,4.74,2.02,3.16,,11.845
Kepler-835,b,Kepler-835 b,Transit,2016,11.41909375,8.2,2.79,2.07,,
Kepler-836,b,Kepler-836 b,Transit,2016,11.36112327,7.9,2.73,2.13,,135.797
Kepler-837,b,Kepler-837 b,Transit,2016,16.56059504,7.08,2.56,2.32,,55.966
Kepler-838,b,Kepler-838 b,Transit,2016,15.74957994,7.9,2.73,2.13,,61.089
Kepler-839,b,Kepler-839 b,Transit,2016,37.8144514,7.13,2.57,2.31,,46.303
Kepler-84,b,Kepler-84 b,Transit,2012,8.726,40,2.23,19.8,,
Kepler-84,c,Kepler-84 c,Transit,2012,12.883,20.2,2.36,8.44,,
Kepler-84,d,Kepler-84 d,Transit,2014,4.224537,2.48,1.38,5.19,,
Kepler-84,e,Kepler-84 e,Transit,2014,27.434389,7.27,2.6,2.27,,
Kepler-84,f,Kepler-84 f,Transit,2014,44.552169,5.48,2.2,2.83,,
Kepler-840,b,Kepler-840 b,Transit,2016,2.49577962,43000,17.07,47.5,,2258.805
Kepler-841,b,Kepler-841 b,Transit,2016,124.4198398,23.8,5.23,0.914,,1.648
Kepler-842,b,Kepler-842 b,Transit,2016,1.21956827,3.19,1.6,4.28,,588.95
Kepler-843,b,Kepler-843 b,Transit,2016,2.05387982,7.22,2.59,2.28,,890.333
Kepler-844,b,Kepler-844 b,Transit,2016,2.61302086,3.46,1.68,4.01,,89.652
Kepler-845,b,Kepler-845 b,Transit,2016,0.92785982,4.82,2.04,3.12,,772.498
Kepler-846,b,Kepler-846 b,Transit,2016,19.80792185,6.71,2.48,2.42,,35.276
Kepler-847,b,Kepler-847 b,Transit,2016,2.3432319,1.76,1.18,5.89,,
Kepler-848,b,Kepler-848 b,Transit,2016,6.91134416,3.53,1.7,3.95,,794.778
Kepler-849,b,Kepler-849 b,Transit,2016,394.6244904,40.4,7.14,0.61,,3.119
Kepler-85,b,Kepler-85 b,Transit,2012,8.306,4.54,1.97,3.26,,107.028
Kepler-85,c,Kepler-85 c,Transit,2012,12.513,20.9,2.18,11.1,,61.929
Kepler-85,d,Kepler-85 d,Transit,2014,17.91323,1.87,1.2,5.95,,38.39
Kepler-85,e,Kepler-85 e,Transit,2014,25.216751,0.6,1.27,1.6,,24.318
Kepler-850,b,Kepler-850 b,Transit,2016,7.19303878,3.82,1.78,3.72,,329.283
Kepler-851,b,Kepler-851 b,Transit,2016,8.50699658,3.46,1.68,4.01,,103.828
Kepler-852,b,Kepler-852 b,Transit,2016,44.9309804,6.99,2.54,2.34,,92.131
Kepler-853,b,Kepler-853 b,Transit,2016,7.16892463,3.5,1.69,3.98,,499.301
Kepler-854,b,Kepler-854 b,Transit,2016,2.14463285,42000,16.72,49.4,,7282.962
Kepler-855,b,Kepler-855 b,Transit,2016,7.8866311,52.7,8.35,0.497,,405.183
Kepler-856,b,Kepler-856 b,Transit,2016,8.02768059,63.3,9.3,0.432,,153.497
Kepler-857,b,Kepler-857 b,Transit,2016,85.35129427,37.2,6.8,0.65,,5.747
Kepler-858,b,Kepler-858 b,Transit,2016,76.13602028,21.1,4.87,1,,6.338
Kepler-859,b,Kepler-859 b,Transit,2016,20.38177573,9.75,3.09,1.82,,14.897
Kepler-860,b,Kepler-860 b,Transit,2016,5.10137945,10.6,3.24,1.71,,233.621
Kepler-861,b,Kepler-861 b,Transit,2016,3.94963138,5.82,2.28,2.7,,197.29
Kepler-862,b,Kepler-862 b,Transit,2016,3.14866453,5.52,2.21,2.81,,547.293
Kepler-863,b,Kepler-863 b,Transit,2016,15.59461874,8.75,2.9,1.97,,117.828
Kepler-864,b,Kepler-864 b,Transit,2016,5.83376092,6.35,2.4,2.52,,464.765
Kepler-865,b,Kepler-865 b,Transit,2016,14.16399294,6.76,2.49,2.41,,46.362
Kepler-866,b,Kepler-866 b,Transit,2016,2.61703254,3.29,1.63,4.17,,196.127
Kepler-867,b,Kepler-867 b,Transit,2016,150.242127,19.4,4.64,1.07,,5.45
Kepler-868,b,Kepler-868 b,Transit,2016,5.03251791,4.86,2.05,3.1,,417.034
Kepler-869,b,Kepler-869 b,Transit,2016,40.4287755,12.7,3.61,1.48,,17.234
Kepler-87,b,Kepler-87 b,Transit,2013,114.73635,324.2,13.49,0.729,478,9.203
Kepler-87,c,Kepler-87 c,Transit,2013,191.2318,6.4,6.14,0.152,403,4.656
Kepler-870,b,Kepler-870 b,Transit,2016,21.3587621,8.15,2.78,2.08,,54.869
Kepler-871,b,Kepler-871 b,Transit,2016,22.0459018,13.5,3.74,1.42,,79.722
Kepler-872,b,Kepler-872 b,Transit,2016,2.57885507,4.62,1.99,3.22,,553.056
Kepler-873,b,Kepler-873 b,Transit,2016,20.5533844,13.5,3.75,1.41,,68.015
Kepler-874,b,Kepler-874 b,Transit,2016,40.0686727,14.7,3.94,1.32,,31.624
Kepler-875,b,Kepler-875 b,Transit,2016,27.5073799,8.75,2.9,1.97,,41.431
Kepler-876,b,Kepler-876 b,Transit,2016,5.14438011,2.63,1.43,4.94,,152.746
Kepler-877,b,Kepler-877 b,Transit,2016,18.45847097,5.14,2.12,2.96,,
Kepler-878,b,Kepler-878 b,Transit,2016,25.9422033,4.38,1.93,3.35,,27.009
Kepler-879,b,Kepler-879 b,Transit,2016,33.3855938,7.13,2.57,2.31,,29.128
KOI-142,d,Kepler-88 d,Radial Velocity,2020,1403,965.147,13.1,2.36,,
Kepler-880,b,Kepler-880 b,Transit,2016,7.71468975,7.56,2.66,2.21,,586.169
Kepler-881,b,Kepler-881 b,Transit,2016,4.44448017,3.82,1.78,3.72,,538.569
Kepler-882,b,Kepler-882 b,Transit,2016,3.98953967,2.04,1.23,6.02,,259.029
Kepler-883,b,Kepler-883 b,Transit,2016,12.98495573,3.82,1.78,3.72,,163.052
Kepler-884,b,Kepler-884 b,Transit,2016,5.69919514,2.04,1.23,6.02,,
Kepler-885,b,Kepler-885 b,Transit,2016,18.11472949,6.8,2.5,2.39,,124.646
Kepler-886,b,Kepler-886 b,Transit,2016,6.24146367,2.92,1.52,4.57,,231.432
Kepler-887,b,Kepler-887 b,Transit,2016,20.42228798,4.04,1.84,3.56,,109.842
Kepler-887,c,Kepler-887 c,Transit,2016,7.63846023,1.51,1.13,5.75,,407.977
Kepler-888,b,Kepler-888 b,Transit,2016,70.6979061,3.75,1.76,3.78,,7.854
Kepler-889,b,Kepler-889 b,Transit,2016,3.744439,1.32,1.09,5.6,,954.588
Kepler-890,b,Kepler-890 b,Transit,2016,52.75875577,58.6,8.89,0.458,,30.227
Kepler-891,b,Kepler-891 b,Transit,2016,53.44945593,33.6,6.41,0.701,,44.326
Kepler-892,b,Kepler-892 b,Transit,2016,13.7521072,8.3,2.81,2.06,,18.196
Kepler-893,b,Kepler-893 b,Transit,2016,6.33855761,9.43,3.03,1.86,,266.271
Kepler-894,b,Kepler-894 b,Transit,2016,9.803224,8.15,2.78,2.08,,119.881
Kepler-895,b,Kepler-895 b,Transit,2016,2.80624233,2.99,1.54,4.5,,106.585
Kepler-896,b,Kepler-896 b,Transit,2016,144.547396,6.94,2.53,2.35,,12.649
Kepler-897,b,Kepler-897 b,Transit,2016,8.0472642,6.3,2.39,2.54,,354.221
Kepler-898,b,Kepler-898 b,Transit,2016,5.8706191,2.83,1.49,4.7,,37.11
Kepler-899,b,Kepler-899 b,Transit,2016,19.17891293,7.65,2.68,2.18,,62.198
Kepler-9,b,Kepler-9 b,Transit,2010,19.23891,43.4,8.29,0.42,,48.229
Kepler-9,c,Kepler-9 c,Transit,2010,38.9853,29.9,8.08,0.31,,18.903
Kepler-9,d,Kepler-9 d,Transit,2010,1.592851,3.33,1.64,4.15,2026,1339.658
KOI-351,i,Kepler-90 i,Transit,2017,14.44912,2.3,1.32,5.5,709,
Kepler-900,b,Kepler-900 b,Transit,2016,6.9913086,4.98,2.08,3.04,,54.109
Kepler-901,b,Kepler-901 b,Transit,2016,3.51749439,2.45,1.37,5.24,,68.723
Kepler-902,b,Kepler-902 b,Transit,2016,40.1099547,6.99,2.54,2.34,,24.875
Kepler-903,b,Kepler-903 b,Transit,2016,10.3507721,4.7,2.01,3.18,,274.845
Kepler-903,c,Kepler-903 c,Transit,2016,62.9228557,6.94,2.53,2.35,,24.791
Kepler-904,b,Kepler-904 b,Transit,2016,3.02166863,3.78,1.77,3.75,,875.419
Kepler-905,b,Kepler-905 b,Transit,2016,5.08274652,2.57,1.41,5.04,,185.771
Kepler-906,b,Kepler-906 b,Transit,2016,41.6979976,5.1,2.11,2.98,,21.987
Kepler-907,b,Kepler-907 b,Transit,2016,15.86621821,1.87,1.2,5.95,,
Kepler-908,b,Kepler-908 b,Transit,2016,1.34059747,1.98,1.22,5.99,,3304.101
Kepler-909,b,Kepler-909 b,Transit,2016,13.93290318,2.76,1.47,4.77,,127.24
Kepler-91,b,Kepler-91 b,Transit,2013,6.24658,257.4423,15.323,0.4,2040,3273.324
Kepler-910,b,Kepler-910 b,Transit,2016,2.36436901,0.477,0.82,4.75,,2108.073
Kepler-911,b,Kepler-911 b,Transit,2016,20.310501,7.27,2.6,2.27,,198.725
Kepler-912,b,Kepler-912 b,Transit,2016,2.53475627,8.25,2.8,2.07,,2694.6
Kepler-913,b,Kepler-913 b,Transit,2016,10.29672521,4.9,2.06,3.08,,
Kepler-914,b,Kepler-914 b,Transit,2016,4.40966548,2.48,1.38,5.19,,568.378
Kepler-915,b,Kepler-915 b,Transit,2016,4.59489604,2.86,1.5,4.66,,844.751
Kepler-916,b,Kepler-916 b,Transit,2016,32.2968798,3.75,1.76,3.78,,14.683
Kepler-917,b,Kepler-917 b,Transit,2016,2.97041437,4.31,1.91,3.4,,
Kepler-918,b,Kepler-918 b,Transit,2016,4.85386933,3.68,1.74,3.84,,258.702
Kepler-919,b,Kepler-919 b,Transit,2016,11.04603384,5.69,2.25,2.74,,153.915
Kepler-92,b,Kepler-92 b,Transit,2013,13.749,64.3,3.51,8.17,,257.776
Kepler-92,c,Kepler-92 c,Transit,2013,26.723,6.1,2.6,1.91,,106.207
Kepler-92,d,Kepler-92 d,Transit,2015,49.3568,4.93,2.067,3.07,,46.844
Kepler-920,b,Kepler-920 b,Transit,2016,6.53192704,6.44,2.42,2.5,,153.138
Kepler-920,c,Kepler-920 c,Transit,2016,100.8274113,13.8,3.8,1.38,,3.986
Kepler-921,b,Kepler-921 b,Transit,2016,51.300634,8.6,2.87,2,,15.007
Kepler-922,b,Kepler-922 b,Transit,2016,0.93846683,2.6,1.42,4.99,,2142.634
Kepler-923,b,Kepler-923 b,Transit,2016,6.93366476,2.48,1.38,5.19,,390.636
Kepler-924,b,Kepler-924 b,Transit,2016,61.0370117,9.64,3.07,1.83,,19.997
Kepler-925,b,Kepler-925 b,Transit,2016,33.8678531,6.08,2.34,2.61,,5.833
Kepler-926,b,Kepler-926 b,Transit,2016,52.0688601,5.95,2.31,2.65,,17.883
Kepler-927,b,Kepler-927 b,Transit,2016,9.1149903,3.61,1.72,3.9,,129.534
Kepler-928,b,Kepler-928 b,Transit,2016,3.9324613,3.15,1.59,4.31,,111.11
Kepler-929,b,Kepler-929 b,Transit,2016,0.92103214,1.41,1.11,5.67,,8159.933
Kepler-93,b,Kepler-93 b,Transit,2014,4.72674,3.1783,1.569,1.652,1037,283.739
Kepler-93,c,Kepler-93 c,Radial Velocity,2014,1460,954,,,,
Kepler-930,b,Kepler-930 b,Transit,2016,71.4517775,5.18,2.13,2.95,,16.851
Kepler-931,b,Kepler-931 b,Transit,2016,8.03755877,2.33,1.33,5.44,,
Kepler-932,b,Kepler-932 b,Transit,2016,1.9214374,2.45,1.37,5.24,,562.217
Kepler-933,b,Kepler-933 b,Transit,2016,14.20443009,6.62,2.46,2.44,,61.323
Kepler-934,b,Kepler-934 b,Transit,2016,55.6738309,5.02,2.09,3.02,,4.716
Kepler-935,b,Kepler-935 b,Transit,2016,4.88083852,2.39,1.35,5.34,,94.607
Kepler-936,b,Kepler-936 b,Transit,2016,10.56134221,2.7,1.45,4.87,,
Kepler-937,b,Kepler-937 b,Transit,2016,67.668827,13.4,3.72,1.43,,20.627
Kepler-937,c,Kepler-937 c,Transit,2016,153.343364,7.61,2.67,2.2,,6.93
Kepler-938,b,Kepler-938 b,Transit,2016,52.6298417,5.56,2.22,2.79,,
Kepler-939,b,Kepler-939 b,Transit,2016,14.878296,3.71,1.75,3.8,,230.224
Kepler-94,b,Kepler-94 b,Transit,2014,2.50806,10.84,3.51,1.45,827,216.094
Kepler-94,c,Kepler-94 c,Radial Velocity,2014,820.3,3126,12.5,8.79,,
Kepler-940,b,Kepler-940 b,Transit,2016,59.6225257,11.1,3.34,1.64,,10.519
Kepler-941,b,Kepler-941 b,Transit,2016,17.42395198,9.69,3.08,1.82,,47.032
Kepler-942,b,Kepler-942 b,Transit,2016,44.96417488,5.18,2.13,2.95,,4.957
Kepler-943,b,Kepler-943 b,Transit,2016,49.7701438,29.5,5.93,0.777,,45.344
Kepler-944,b,Kepler-944 b,Transit,2016,43.3167737,7.41,2.63,2.24,,20.174
Kepler-945,b,Kepler-945 b,Transit,2016,31.0033814,7.41,2.63,2.24,,31.702
Kepler-946,b,Kepler-946 b,Transit,2016,11.79162572,4.38,1.93,3.35,,124.072
Kepler-947,b,Kepler-947 b,Transit,2016,26.9644317,5.82,2.28,2.7,,51.95
Kepler-948,b,Kepler-948 b,Transit,2016,7.76846622,4.08,1.85,3.54,,126.203
Kepler-949,b,Kepler-949 b,Transit,2016,8.6893073,8.8,2.91,1.96,,58.442
Kepler-95,b,Kepler-95 b,Transit,2014,11.5231,13,3.42,1.71,,178.832
Kepler-950,b,Kepler-950 b,Transit,2016,98.7180406,59.6,8.98,0.452,,14.836
Kepler-951,b,Kepler-951 b,Transit,2016,71.52530845,26.7,5.59,0.84,,2.472
Kepler-952,b,Kepler-952 b,Transit,2016,130.3546919,45.4,7.65,0.557,,5.046
Kepler-953,b,Kepler-953 b,Transit,2016,88.40655258,16.5,4.21,1.22,,
Kepler-953,c,Kepler-953 c,Transit,2016,9.10967112,1.81,1.19,5.9,,
Kepler-954,b,Kepler-954 b,Transit,2016,16.78176602,5.99,2.32,2.64,,21.531
Kepler-955,b,Kepler-955 b,Transit,2016,14.53244172,9.96,3.13,1.78,,33.091
Kepler-956,b,Kepler-956 b,Transit,2016,5.24867263,9.27,3,1.89,,307.058
Kepler-957,b,Kepler-957 b,Transit,2016,5.90741354,25.9,5.5,0.855,,124.911
Kepler-958,b,Kepler-958 b,Transit,2016,9.7678805,4.9,2.06,3.08,,73.59
Kepler-959,b,Kepler-959 b,Transit,2016,14.80074836,17.6,4.38,1.15,,165.868
Kepler-96,b,Kepler-96 b,Transit,2014,16.2385,8.46,2.67,2.26,,57.524
Kepler-960,b,Kepler-960 b,Transit,2016,3.12686223,5.86,2.29,2.68,,129.223
Kepler-961,b,Kepler-961 b,Transit,2016,16.87727414,7.04,2.55,2.33,,40.4
Kepler-962,b,Kepler-962 b,Transit,2016,12.05707239,4.54,1.97,3.26,,53.823
Kepler-963,b,Kepler-963 b,Transit,2016,9.97683705,7.56,2.66,2.21,,83.494
Kepler-964,b,Kepler-964 b,Transit,2016,13.5225106,5.14,2.12,2.96,,43.916
Kepler-965,b,Kepler-965 b,Transit,2016,134.2527298,11.4,3.38,1.62,,4.98
Kepler-966,b,Kepler-966 b,Transit,2016,99.747622,16,4.13,1.25,,10.972
Kepler-967,b,Kepler-967 b,Transit,2016,13.22713379,6.12,2.35,2.59,,
Kepler-967,c,Kepler-967 c,Transit,2016,198.7112502,12.9,3.65,1.46,,
Kepler-968,b,Kepler-968 b,Transit,2016,3.69298373,4.66,2,3.2,,103.909
Kepler-968,c,Kepler-968 c,Transit,2016,5.70940492,3.5,1.69,3.98,,58.15
Kepler-969,b,Kepler-969 b,Transit,2016,34.1731714,4.94,2.07,3.06,,10.166
Kepler-969,c,Kepler-969 c,Transit,2016,1.6829346,0.937,0.99,5.31,,564.581
Kepler-97,b,Kepler-97 b,Transit,2014,2.58664,3.51,1.48,5.44,,767.964
Kepler-97,c,Kepler-97 c,Radial Velocity,2014,789,344,,,,
Kepler-970,b,Kepler-970 b,Transit,2016,16.73652231,8.1,2.77,2.09,,11.111
Kepler-971,b,Kepler-971 b,Transit,2016,9.59070716,5.18,2.13,2.95,,82.766
Kepler-972,b,Kepler-972 b,Transit,2016,7.03932553,19.5,4.65,1.07,,266.514
Kepler-973,b,Kepler-973 b,Transit,2016,49.6077331,4.5,1.96,3.28,,7.892
Kepler-974,b,Kepler-974 b,Transit,2016,4.19449651,3.09,1.57,4.39,,28.511
Kepler-975,b,Kepler-975 b,Transit,2016,1.97034246,2.79,1.48,4.73,,328.698
Kepler-976,b,Kepler-976 b,Transit,2016,105.9564148,14.9,3.96,1.32,,2.661
Kepler-977,b,Kepler-977 b,Transit,2016,26.85328322,7.37,2.62,2.25,,13.955
Kepler-978,b,Kepler-978 b,Transit,2016,49.6221509,9.22,2.99,1.9,,
Kepler-979,b,Kepler-979 b,Transit,2016,8.0880135,7.85,2.72,2.14,,77.841
Kepler-98,b,Kepler-98 b,Transit,2014,1.54168,3.55,1.99,2.18,,1107.389
Kepler-980,b,Kepler-980 b,Transit,2016,11.55102504,7.61,2.67,2.2,,170.137
Kepler-981,b,Kepler-981 b,Transit,2016,4.46975774,5.95,2.31,2.65,,337.471
Kepler-982,b,Kepler-982 b,Transit,2016,15.7738221,5.69,2.25,2.74,,185.203
Kepler-983,b,Kepler-983 b,Transit,2016,60.0855082,6.17,2.36,2.58,,30.997
Kepler-984,b,Kepler-984 b,Transit,2016,43.0342272,5.14,2.12,2.96,,13.991
Kepler-985,b,Kepler-985 b,Transit,2016,116.331901,9.17,2.98,1.9,,
Kepler-986,b,Kepler-986 b,Transit,2016,56.4349938,6.17,2.36,2.58,,10.857
Kepler-987,b,Kepler-987 b,Transit,2016,105.3033148,10.7,3.26,1.7,,3.853
Kepler-988,b,Kepler-988 b,Transit,2016,17.76080053,4.94,2.07,3.06,,6.56
Kepler-989,b,Kepler-989 b,Transit,2016,7.96431535,5.52,2.21,2.81,,74.35
Kepler-99,b,Kepler-99 b,Transit,2014,4.60358,6.15,1.48,10.9,,108.042
Kepler-990,b,Kepler-990 b,Transit,2016,9.91723428,7.27,2.6,2.27,,
Kepler-990,c,Kepler-990 c,Transit,2016,0.53835431,2.96,1.53,4.54,,
Kepler-991,b,Kepler-991 b,Transit,2016,82.5342519,6.99,2.54,2.34,,1.371
Kepler-992,b,Kepler-992 b,Transit,2016,20.16034462,3.26,1.62,4.21,,15.291
Kepler-993,b,Kepler-993 b,Transit,2016,22.08557563,9.11,2.97,1.91,,3.954
Kepler-994,b,Kepler-994 b,Transit,2016,1.15116651,3.19,1.6,4.28,,243.984
Kepler-995,b,Kepler-995 b,Transit,2016,28.26731672,7.75,2.7,2.16,,11.92
Kepler-996,b,Kepler-996 b,Transit,2016,3.77059058,4.58,1.98,3.24,,723.081
Kepler-997,b,Kepler-997 b,Transit,2016,2.70730672,2.42,1.36,5.29,,1900.131
Kepler-998,b,Kepler-998 b,Transit,2016,5.65377733,5.99,2.32,2.64,,409.917
Kepler-999,b,Kepler-999 b,Transit,2016,5.99185702,6.08,2.34,2.61,,740.173
L 168-9,b,L 168-9 b,Transit,2020,1.4015,4.6,1.39,9.6,965,
L 98-59,b,L 98-59 b,Transit,2019,2.2531,1.01,0.8,12.7,610,23.9
L 98-59,c,L 98-59 c,Transit,2019,3.6904,2.42,1.35,5.4,517,12.4
L 98-59,d,L 98-59 d,Transit,2019,7.4512,2.31,1.57,3.3,409,4.85
LHS 1140,b,LHS 1140 b,Transit,2017,24.736959,6.98,1.727,7.5,235,0.503
LHS 1140,c,LHS 1140 c,Transit,2018,3.777931,1.81,1.282,4.7,438,6.16
LHS 1815,b,LHS 1815 b,Transit,2020,3.81433,8.7,1.088,,617,
LHS 3844,b,LHS 3844 b,Transit,2019,0.46292913,2.25,1.303,5.59,805,70.1
LP 791-18,b,LP 791-18 b,Transit,2019,0.948005,1.46,1.12,5.71,650,21.5
LP 791-18,c,LP 791-18 c,Transit,2019,4.989963,5.95,2.31,2.65,370,2.35
LSPM J2116+0234,b,LSPM J2116+0234 b,Radial Velocity,2019,14.4399,13.3,3.71,1.43,,
LTT 1445 A,b,LTT 1445 A b,Transit,2019,5.35882,2.2,1.38,4.4,433,
