Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
Kepler-249,c,Kepler-249 c,Transit,2014,7.113702,2.89,1.51,4.61,435,12.529
Kepler-249,d,Kepler-249 d,Transit,2014,15.368459,3.09,1.57,4.39,336,4.474
Kepler-25,b,Kepler-25 b,Transit,2011,6.238297,8.7,2.748,2.32,,542.96
Kepler-25,c,Kepler-25 c,Transit,2011,12.7207,15.2,5.217,0.588,,210.172
Kepler-25,d,Kepler-25 d,Radial Velocity,2014,122.4,71.9,10,0.395,,
Kepler-250,b,Kepler-250 b,Transit,2014,4.148141,1.51,1.13,5.75,,148.103
Kepler-250,c,Kepler-250 c,Transit,2014,7.156804,5.82,2.28,2.7,,71.499
Kepler-250,d,Kepler-250 d,Transit,2014,17.648312,5.39,2.18,2.86,,21.463
Kepler-251,b,Kepler-251 b,Transit,2014,4.790936,2.33,1.33,5.44,,203.169
Kepler-251,c,Kepler-251 c,Transit,2014,16.514043,8.1,2.77,2.09,,38.953
Kepler-251,d,Kepler-251 d,Transit,2014,30.133001,8.1,2.77,2.09,,17.477
Kepler-251,e,Kepler-251 e,Transit,2014,99.640161,8.1,2.77,2.09,,3.548
Kepler-252,b,Kepler-252 b,Transit,2014,6.668391,2.04,1.23,6.02,,39.264
Kepler-252,c,Kepler-252 c,Transit,2014,10.848463,5.27,2.15,2.91,501,20.507
Kepler-253,b,Kepler-253 b,Transit,2014,3.783986,3.29,1.63,4.17,,194.346
Kepler-253,c,Kepler-253 c,Transit,2014,10.281951,7.51,2.65,2.22,,51.273
Kepler-253,d,Kepler-253 d,Transit,2014,18.119869,10.2,3.17,1.76,,24.084
Kepler-254,b,Kepler-254 b,Transit,2014,5.826662,14.3,3.87,1.36,,184.341
Kepler-254,c,Kepler-254 c,Transit,2014,12.412183,3.2,2.15,1.77,,67.225
Kepler-254,d,Kepler-254 d,Transit,2014,18.746477,6.8,2.5,2.39,,38.844
Kepler-255,b,Kepler-255 b,Transit,2014,5.714606,3.02,1.55,4.46,,174.395
Kepler-255,c,Kepler-255 c,Transit,2014,9.946047,9.22,2.99,1.9,,83.264
Kepler-255,d,Kepler-255 d,Transit,2016,1.04562266,2.3,1.32,5.5,,1686.09
Kepler-256,b,Kepler-256 b,Transit,2014,1.620493,3.15,1.59,4.31,,1225.934
Kepler-256,c,Kepler-256 c,Transit,2014,3.38802,5.27,2.15,2.91,,457.066
Kepler-256,d,Kepler-256 d,Transit,2014,5.839172,6.71,2.48,2.42,,221.1
Kepler-256,e,Kepler-256 e,Transit,2014,10.681572,6.12,2.35,2.59,,98.9
Kepler-257,b,Kepler-257 b,Transit,2014,2.382667,7.32,2.61,2.26,,
Kepler-257,c,Kepler-257 c,Transit,2014,6.581484,25.2,5.41,0.875,,
Kepler-257,d,Kepler-257 d,Transit,2014,24.664551,21.7,4.95,0.983,,
Kepler-258,b,Kepler-258 b,Transit,2014,13.19722,15.5,4.06,1.27,,27.791
Kepler-258,c,Kepler-258 c,Transit,2014,33.653079,12.7,3.61,1.48,,7.985
Kepler-259,b,Kepler-259 b,Transit,2014,8.115317,8.25,2.8,2.07,,113.451
Kepler-259,c,Kepler-259 c,Transit,2014,36.924931,7.75,2.7,2.16,,15.054
Kepler-26,b,Kepler-26 b,Transit,2011,12.28,5.12,2.78,1.26,427,7.6
Kepler-26,c,Kepler-26 c,Transit,2011,17.2559,6.2,2.72,1.61,381,4.82
Kepler-26,d,Kepler-26 d,Transit,2014,3.543919,1.24,1.07,5.56,646,31.79
Kepler-26,e,Kepler-26 e,Transit,2014,46.827915,6.39,2.41,2.51,,1.753
Kepler-260,b,Kepler-260 b,Transit,2014,8.187399,4.7,2.01,3.18,,132.134
Kepler-260,c,Kepler-260 c,Transit,2014,76.050178,3.68,1.74,3.84,,6.775
Kepler-261,b,Kepler-261 b,Transit,2014,10.381227,5.39,2.18,2.86,,45.779
Kepler-261,c,Kepler-261 c,Transit,2014,24.570858,4.66,2,3.2,,14.512
